user_id;lastname;firstname;username;password;auth_source;email;status;admin;official_code;phone;picture_uri;creator_id;language;disk_quota;database_quota;version_quota;theme;activation_date;expiration_date;registration_date;active
315;Okita;Souji;Okita;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ADMIN;;;;english;209715200;300;20;;0;0;1237980003;1
314;Doe;Jane;HetePoes;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ADMIN;;;;english;209715200;300;20;;0;0;1237980002;1
312;Doe;John;Underdog;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;TEST_USER;;;;english;209715200;300;20;;0;0;1237980000;1
313;Fred;Mr;Maaike;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237980001;1
310;Fred;Mr;Suske;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237979998;1
311;Doe;Jane;Bommel;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ADMIN;;;;english;209715200;300;20;;0;0;1237979999;1
309;Doe;John;Wiske;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;TEST_USER;;;;english;209715200;300;20;;0;0;1237979997;1
308;Doe;Jane;Stefaan;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ADMIN;;;;english;209715200;300;20;;0;0;1237979995;1
303;Doe;John;JamesBond;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;TEST_USER;;;;english;209715200;300;20;;0;0;1237979990;1
301;Fred;Mr;Carnage;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237979987;1
307;Fred;Mr;Michael;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237979994;1
306;Doe;John;Stefan;ae12e345f679aaf;platform;john.doe@nowhere.org;1;1;TEST_USER;;;;english;209715200;300;20;;0;0;1237979993;1
305;Doe;Jane;Nick;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ADMIN;;;;english;209715200;300;20;;0;0;1237979992;1
304;Fred;Mr;Sven;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237979991;1
302;Doe;Jane;Venom;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ADMIN;;;;english;209715200;300;20;;0;0;1237979989;1
300;Doe;John;JohnConnor;ae12e345f679aaf;platform;john.doe@nowhere.org;1;1;TEST_USER;;;;english;209715200;300;20;;0;0;1237979986;1
298;Fred;Mr;Storm;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237979984;1
299;Doe;Jane;Magneto;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ADMIN;;;;english;209715200;300;20;;0;0;1237979985;1
295;Fred;Mr;Superman;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237979981;1
297;Doe;John;Cyclops;ae12e345f679aaf;platform;john.doe@nowhere.org;1;1;TEST_USER;;;;english;209715200;300;20;;0;0;1237979983;1
296;Doe;Jane;Wolverine;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ADMIN;;;;english;209715200;300;20;;0;0;1237979982;1
289;Fred;Mr;DareDevil;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237979974;1
290;Doe;Jane;Mr.America;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ADMIN;;;;english;209715200;300;20;;0;0;1237979975;1
291;Doe;John;CaptainPlanet;ae12e345f679aaf;platform;john.doe@nowhere.org;1;1;TEST_USER;;;;english;209715200;300;20;;0;0;1237979976;1
292;Fred;Mr;Terminator;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237979977;1
293;Doe;Jane;Iceman;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ADMIN;;;;english;209715200;300;20;;0;0;1237979978;1
294;Doe;John;Batman;ae12e345f679aaf;platform;john.doe@nowhere.org;1;1;TEST_USER;;;;english;209715200;300;20;;0;0;1237979979;1
286;Fred;Mr;Ironman;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237979970;1
287;Doe;Jane;Spiderman;ae12e345f679aaf;platform;okitasouji@gmail.com;1;1;ADMIN;;;;english;209715200;300;20;;0;0;1237979971;1
288;Doe;John;Hulk;ae12e345f679aaf;platform;john.doe@nowhere.org;1;1;TEST_USER;;;;english;209715200;300;20;;0;0;1237979973;1
